answer,intent
"Quyền được cha mẹ thương yêu, tôn trọng, thực hiện các quyền, lợi ích hợp pháp về nhân thân và tài sản theo quy định của pháp luật, được học tập và giáo dục; được phát triển lành mạnh về thể chất; trí tuệ và đạo đức. Có bổn phân yêu quý, kính trọng, biết ơn, hiếu thảo, phụng dưỡng cha mẹ, giữ gìn danh dự, truyền thống tốt đẹp của gia đình.",05_70_1
"Theo Điều 70, con có nghĩa vụ tham gia công việc gia đình, lao động, sản xuất, tạo thu nhập nhằm đáp ứng nhu cầu của gia đình, và đóng góp thu nhập vào việc duy trì đời sống chung.",05_70_4
"Khi sống cùng với cha mẹ, con có nghĩa vụ tham gia công việc gia đình, lao động, sản xuất, tạo thu nhập nhằm bảo đảm đời sống chung của gia đình; đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình phù hợp với khả năng của mình.",05_70_4
"Khi sống cùng cha mẹ, con có nghĩa vụ tham gia công việc gia đình, lao động, sản xuất; tạo thu nhập nhằm bảo đảm đời sống chung của gia đình; đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình phù hợp với khả năng của mình",05_70_4
"Có, khi sống cùng cha mẹ, con có nghĩa vụ tham gia công việc gia đình,lao động, sản xuất; tạo thu nhập nhằm đảm bảo đời sống chung của gia đình; đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình phù hợp với khả năng của mình.",05_70_4
"Con đã thành niên có quyền tự do lựa chọn nghề nghiệp, nơi cư trú, học hập, nâng cao trình độ văn hóa, chuyên môn, nghiệp vụ, tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội theo nguyên vọng và khả năng của mình.",05_70_4
"Theo Điều 70, con có quyền được hưởng quyền về tài sản tương xứng với công sức đóng góp vào tài sản của gia đình.",05_70_5
"Có, con được hưởng quyền về tài sản tương xứng với công sức đóng góp vào tài sản gia đình.",05_70_5
Con được hưởng quyền về tài sản tương xứng với công sức đóng góp vào tài sản gia đình.,05_70_5
"Theo Điều 71, cha, mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",05_71_1
"Trường hợp con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình cha mẹ có nghĩa vụ và quyền cùng nhau chăm sóc nuôi dưỡng con",05_71_1
"Cha, mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",05_71_1
"Cha, mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",05_71_1
"Theo Điều 71, con có nghĩa vụ và quyền chăm sóc, nuôi dưỡng cha mẹ, đặc biệt khi cha mẹ mất năng lực hành vi dân sự, ốm đau, già yếu, khuyết tật; trường hợp gia đình có nhiều con thì các con phải cùng nhau chăm sóc, nuôi dưỡng cha mẹ.",05_71_2
"Con có nghĩa vụ và quyền chăm sóc, nuôi dưỡng cha mẹ, đặc biệt khi cha mẹ mất năng lực hành vi dân sự, ốm đau, già yếu, khuyết tật.",05_71_2
"Đối với gia đình có nhiều con thì các con phải cùng nhau chăm sóc, nuôi dưỡng cha mẹ",05_71_2
"Con có nghĩa vụ và quyền chăm sóc, nuôi dưỡng cha mẹ, đặc biệt khi cha mẹ mất năng lực hành vi dân sự, ốm đau, già yếu, khuyết tật.",05_71_2
"Theo Điều 72, cha mẹ có nghĩa vụ và quyền giáo dục con, chăm lo và tạo điều kiện cho con học tập. Cha mẹ tạo điều kiện cho con được sống trong môi trường gia đình đầm ấm, hòa thuận; làm gương tốt cho con về mọi mặt; phối hợp chặt chẽ với nhà trường, cơ quan, tổ chức trong việc giáo dục con.",05_72_1
"Cha mẹ có nghĩa vụ và quyền giáo dục con, chăm lo và tạo điều kiện cho con học tập, được sống trong moi trường gia đình đầm ấm, hòa thuận, làm gương tốt cho về mọi mặt, phối hợp chặt chẽ với nhà trường, cơ quan, tổ chức trong việc giáo dục con.",05_72_1
"Theo Điều 72, cha mẹ hướng dẫn con chọn nghề; tôn trọng quyền chọn nghề, quyền tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội của con.",05_72_2
"Không, cha mẹ có quyền hướng dẫn con chọn nghề; tôn trọng quyền chọn nghề.",05_72_2
"Không, theo quy định Luật Hôn nhân và gia đình cha mẹ tôn trọng quyền tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội của con.",05_72_2
"Không, cha mẹ có quyền hướng dẫn con chọn nghề; tôn trọng quyền chọn nghề.",05_72_2
Có cha mẹ có quyền hướng dẫn con chọn nghề.,05_72_2
"Theo Điều 72, cha mẹ có thể đề nghị cơ quan, tổ chức hữu quan giúp đỡ để thực hiện việc giáo dục con khi gặp khó khăn không thể tự giải quyết được.",05_72_3
"Trường hợp gặp khó khăn không thể tự giải quyết được trong giáo dục con, cha mẹ có thể đề nghị cơ quan, tổ chức hữu quan để giúp đỡ.",05_72_3
Cha mẹ có thể đề nghị cơ quan tổ chức hữu quan giúp đỡ để thực hiện việc giáo dục con.,05_72_3
"Theo Điều 73, cha mẹ là người đại diện theo pháp luật của con, trừ khi có người khác làm giám hộ hoặc đại diện theo pháp luật.",05_73_1
"Được, trường hợp con có người khác làm giám hộ hoặc có người khác đại diện theo pháp luật.",05_73_1
"Con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự, cha mẹ là người đại diện pháp luật",05_73_1
"Không, theo luật Hôn nhân và gia đình con chưa thành niên cha mẹ là người đại diện pháp luật.",05_73_1
"Theo Điều 73, cha mẹ có quyền tự mình thực hiện giao dịch để đáp ứng nhu cầu thiết yếu của con.",05_73_2
"Đối với trường hợp, con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động, không có tài sản để tự nuôi mình, chạ hoặc mẹ có quyền tự mình thực hiện giao dịch nhằm đáp ứng nhu cầu thiết yếu của con",05_73_2
"Theo Điều 73, giao dịch liên quan đến bất động sản, động sản có đăng ký quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh của con cần có sự thỏa thuận của cha mẹ.",05_73_3
"Các tài sản là bất động sản, động sản có đăng ký quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh.",05_73_3
"Đối với giao dịch liên quan đến tài sản là bất động sản, đọng sản có đăng kí quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh của chưa thành niên, con đã thành niên mất năng lực hành vi dân sự thì phải có sự thỏa thuận của cha mẹ.",05_73_3
"Đối với giao dịch liên quan đến tài sản là bất động sản, đọng sản có đăng kí quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh của chưa thành niên, con đã thành niên mất năng lực hành vi dân sự thì phải có sự thỏa thuận của cha mẹ.",05_73_3
"Theo Điều 73, cha, mẹ chịu trách nhiệm liên đới về việc thực hiện giao dịch liên quan đến tài sản của con theo quy định của Bộ luật dân sự.",05_73_4
"Đối với việc thực hiện giao dịch liên quan đến tài sản con, cha mẹ tự mình thực hiện giao dịch nhằm đáp ứng nhu cầu thiết yếu của con, giao dịch liên quan đến bất động sản của con, cha mẹ phải chịu trách nhiệm liên đới về việc thực hiện giao dịch liên quan nếu có.",05_73_4
"Theo Điều 74, cha mẹ phải bồi thường thiệt hại do con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự gây ra theo quy định của Bộ luật dân sự.",05_74
"Đối với con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự gây ra theo quy định của Bộ luật dân sự cha mẹ phải bồi thường thiệt hại.",05_74
Cha mẹ có trách nhiệm bồi thường thiệt hại do con chưa thành niên gây ra,05_74
"Theo Điều 75, con có quyền có tài sản riêng, bao gồm tài sản thừa kế, tặng cho, thu nhập từ lao động, hoa lợi, lợi tức phát sinh từ tài sản riêng và thu nhập hợp pháp khác. Con từ 15 tuổi trở lên sống chung với cha mẹ có nghĩa vụ đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình nếu có thu nhập. Con đã thành niên có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình theo quy định tại Điều 70.",05_75
"Có, con có quyền có tài sản riêng.",05_75_1
"Tài sản riêng của con bao gồm tài sản được thừa kế riêng, được tặng cho riêng, thu nhập do lao động của con, hoa lợi, lợi tức phát sinh từ tài sản riêng của con và thu nhập hợp pháp khác. Tài sản được hình thành từ tài sản riêng của con cũng là tài sản riêng của con",05_75_1
"Tài sản riêng của con bao gồm tài sản được thừa kế riêng, được tặng cho riêng, thu nhập do lao động của con, hoa lợi, lợi tức phát sinh từ tài sản riêng của con và thu nhập hợp pháp khác. Tài sản được hình thành từ tài sản riêng của con cũng là tài sản riêng của con",05_75_1
"Khi sống chung với cha mẹ, con từ đủ 15 tuổi trở lên có nghĩa vụ chăm lo đời sống chung của gia đình; nếu có thu nhập đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình",05_75_2
Con từ đủ 15 tuổi trở lên sống chung với cha mẹ có nghĩa vụ chăm lo đời sống chung của gia đình; đáp ứng nhu cầu thiết yếu của gia đình nếu có thu nhập,05_75_2
"Theo quy định, con từ đủ 15 tuổi trở lên sống chung với cha mẹ phải có nghĩa vụ chăm lo đời sống chung của gia đình; đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình nếu có thu nhập.",05_75_2
Con đã thành niên có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình,05_75_3
Có con đã thành niên có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình.,05_75_3
"Khi đã thành niên, con có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình",05_75_3
"Theo Điều 76, con từ đủ 15 tuổi trở lên có thể tự mình quản lý tài sản riêng hoặc nhờ cha mẹ quản lý.",05_76_1
Con từ đủ 15 tuổi trở lên có thể tự mình quản lý tài riêng.,05_76_1
"Có, con đủ 15 tuổi trở lên có thể tự mình quản lý tài sản riêng hoặc nhờ cha mẹ quản lý",05_76_1
"Theo Điều 76, khi con từ đủ 15 tuổi trở lên, tài sản riêng của con do cha mẹ hoặc người khác quản lý có thể được giao lại cho con khi con từ đủ 15 tuổi trở lên hoặc khi con khôi phục năng lực hành vi dân sự đầy đủ, trừ trường hợp cha mẹ và con có thỏa thuận khác.",05_76_2
"Đối với con mất năng lực hành vi dân sự tài sản riêng của con do cha mẹ quản lý. Cha mẹ có thể ủy quyền cho người khác quản lý tài sản riêng của con. Tài sản riêng của con do cha mẹ hoặc người khác quản lý được giao lại cho con khi con khôi phục năng lực dân sự đầy đủ, trừ trường hợp cha mẹ và con có thỏa thuận khác",05_76_2
"Đối với con mất năng lực hành vi dân sự tài sản riêng của con do cha mẹ quản lý. Cha mẹ có thể ủy quyền cho người khác quản lý tài sản riêng của con. Tài sản riêng của con do cha mẹ hoặc người khác quản lý được giao lại cho con khi con khôi phục năng lực dân sự đầy đủ, trừ trường hợp cha mẹ và con có thỏa thuận khác",05_76_2
"Trường hợp con chưa đủ tuổi, cha mẹ có thể ủy quyền cho người khác quản lý tài sản riêng của con và giao lại cho khi con đủ 15 tuổi trở lên.",05_76_2
"Tài sản riêng của con dưới 15 tuổi, con mất năng lực hành vi dân sự do cha mẹ quản lý.",05_76_2
"Tài sản riêng của con dưới 15 tuổi do cha mẹ quản lý và được giao lại cho con khi đủ 15 tuổi trở lên, trừ trường hợp cha mẹ và con có thỏa thuận khác.",05_76_2
"Theo Điều 76, trong trường hợp cha mẹ đang quản lý tài sản riêng của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự mà con được giao cho người khác giám hộ thì tài sản riêng của con được giao lại cho người giám hộ quản lý theo quy định của Bộ luật dân sự.",05_76_3
"Không trường hợp con đang được người khác giám hộ, người để lại tài sản thừa kế theo di chúc cho người con đã chỉ định người khác quản lý tài sản đó.",05_76_3
"Không, cha mẹ không quản lý tài sản riêng của con trong trường hợp con đang được người khác giám hộ theo quy định của Bộ luật dân sự. Người tặng cho tài sản hoặc để lại tài sản thừa kế theo di chúc cho người con đã chỉ định người khác quản lý tài sản đó hoặc trường hợp khác theo quy định của pháp luật",05_76_3
"Trường hợp con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự mà được giao cho người khác giám hộ thì tài sản riêng của con được giao lại cho người giám hộ quản lý.",05_76_4
"Trường hợp con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự mà được giao cho người khác giám hộ thì tài sản riêng của con được giao lại cho người giám hộ quản lý.",05_76_4
"Không, tài sản riêng của con được giao lại cho người giám hộ quản lý.",05_76_4
"Trường hợp cha mẹ quản lý tài sản của con dưới 15 tuổi thì có quyền định đoạt tài sản đó vì lợi ích của con, nếu con từ 9 tuổi trở lên phải xem xét nguyện vọng của con.",05_77_1
"Trường hợp người giám hộ quản lý tài sản của con dưới 15 tuổi thì có quyền định đoạt tài sản đó vì lợi ích của con, nếu con từ 9 tuổi trở lên phải xem xét nguyện vọng của con.",05_77_1
"Đối với con dưới 15 tuổi, cha mẹ hoặc người giám hộ quản lý tài sản riêng của con có quyền định đoạt tài sản đó vì lợi ích của con.",05_77_1
"Con từ đủ 15 tuổi đến dưới 18 tuổi có quyền định đoạt tài sản riêng, trừ bất động sản, dùng tài sản kinh doanh phải có sự đồng ý bằng văn bản của cha mẹ hoặc người giám hộ.",05_77_2
"Không, bất động sản, động sản có đăng ký quyền sở hữu phải có sự đồng ý bằng văn bản của cha mẹ hoặc người giám hộ.",05_77_2
Con từ 15 tuổi đến dưới 18 tuổi phải có sự đồng ý bằng văn bản của cha mẹ hoặc người giám hộ đối với tài sản liên quan bất động sản.,05_77_2
Trong hợp con mất năng lực hành vi dân sự thì định đoạt tài sản riêng của con do người giám hộ thực hiện.,05_77_3
Trong hợp con mất năng lực hành vi dân sự thì định đoạt tài sản riêng của con do người giám hộ thực hiện.,05_77_3
"Cha nuôi, mẹ nuôi, con nuôi có quyền và nghĩa vụ tương tự như cha, mẹ, con theo quy định của luật hôn nhân và gia đình và Luật nuôi con nuôi. ",05_78_1
"Cha nuôi, mẹ nuôi, con nuôi có quyền và nghĩa vụ tương tự như cha, mẹ, con theo quy định của luật hôn nhân và gia đình và Luật nuôi con nuôi. ",05_78_1
"Trường hợp chấm dứt việc nuôi con nuôi thì quyền và nghĩa vụ cha nuôi, mẹ nuôi với con nuôi chấm dứt kể từ ngày quyết định của Tòa án có hiệu lực pháp luật",05_78_1
Kể từ ngày quyết định chấm dứt việc nuôi con nuôi của Tòa án có hiệu lực pháp luật.,05_78_1
Quyền và nghĩa vụ của cha mẹ đẻ và con đã làm con nuôi của người khác được thực hiện theo quy định của Luật nuôi con nuôi,05_78_2
Được quyền và nghĩa vụ cha mẹ ruột với con ruột được khôi phục kể từ thời điểm quan hệ nuôi con nuôi chấm dứt.,05_78_3
Quyền và nghĩa vụ cha mẹ ruột đối với con ruột được khôi phục sau khi quan hệ con nuôi kết thúc,05_78_3
Trong trường hợp cha mẹ ruột không còn hoặc không có đủ điều kiện để nuôi con thì Tòa án giải quyết việc chấm dứt nuôi con nuôi và chỉ định người giám hộ cho con.,05_78_3
"Được, trong trường hợp sau cha mẹ ruột không còn hoặc không đủ điều kiện nuôi con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự, không có khả năng lao động, không có tài sản tự nuôi mình Tòa án chỉ định người giám hộ cho con",05_78_3
"Theo Điều 78, quyền, nghĩa vụ giữa cha đẻ, mẹ đẻ và con đẻ được khôi phục kể từ thời điểm quan hệ nuôi con nuôi chấm dứt. Trong trường hợp cha đẻ, mẹ đẻ không còn hoặc không có đủ điều kiện để nuôi con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình, thì Tòa án giải quyết việc chấm dứt nuôi con nuôi và chỉ định người giám hộ cho con theo quy định của Bộ luật dân sự.",05_78_3
"Theo Điều 79, cha dượng, mẹ kế có quyền và nghĩa vụ trông nom, nuôi dưỡng, chăm sóc, giáo dục con riêng của bên kia cùng sống chung với mình theo quy định tại các điều 69, 71 và 72 của Luật Hôn Nhân và Gia Đình. Con riêng cũng có quyền và nghĩa vụ chăm sóc, phụng dưỡng cha dượng, mẹ kế cùng sống chung với mình theo quy định tại Điều 70 và Điều 71 của Luật Hôn Nhân và Gia Đình.",05_79_1
"Cha dượng, mẹ kế có quyền và nghĩa vụ trông nom, nuôi dưỡng, chăm sóc, giáo dục con riêng của bên kia cùng sống chung với mình ",05_79_1
"Cha dượng, mẹ kế có quyền và nghĩa vụ trông nom, nuôi dưỡng, chăm sóc, giáo dục con riêng của bên kia cùng sống chung với mình ",05_79_1
"Con riêng có quyền và nghĩa vụ chăm sóc, phụng dưỡng cha dượng, mẹ kế cùng sống chung với mình",05_79_2
"Con riêng có quyền và nghĩa vụ chăm sóc, phụng dưỡng cha dượng, mẹ kế cùng sống chung với mình",05_79_2
"Theo Điều 80, trong trường hợp con dâu, con rể sống chung với cha mẹ chồng, cha mẹ vợ thì giữa các bên có các quyền, nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau theo quy định tại các điều 69, 70, 71 và 72 của Luật Hôn Nhân và Gia Đình.",05_80
"Trường hợp con dâu sống chung với cha mẹ chồng giữa các bên có quyền nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau",05_80
"Trường hợp con rể sống chung với cha mẹ vợ giữa các bên có quyền nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau",05_80
"Trường hợp con dâu sống chung với cha mẹ chồng giữa các bên có quyền nghĩa vụ tôn trọng, quan tâm, chăm sóc và giúp đỡ nhau.",05_80
"Theo Điều 81, sau khi ly hôn, cha mẹ vẫn có quyền, nghĩa vụ trông nom, chăm sóc, nuôi dưỡng, giáo dục con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình theo quy định của Luật Hôn Nhân và Gia Đình, Bộ luật dân sự và các luật khác có liên quan.",05_81_1
"Sau khi ly hôn, cha mẹ vẫn có quyền nghĩa vụ trông nuôi, chăm sóc nuôi dưỡng giáo dục con chưa thành niên, con mất năng lực hành vi dân sự, không có khả năng lao động, không có tài sản để tự nuôi mình",05_81_1
"Có, sau khi ly hôn cha mẹ vẫn có quyền và nghĩa vụ trông nuôi, chăm sóc nuôi dưỡng giáo dục con chưa thành niên, con mất năng lực hành vi dân sự, không có khả năng lao động, không có tài sản để tự nuôi mình.",05_81_1
"Theo Điều 81, vợ, chồng sau khi ly hôn có thể thỏa thuận về người trực tiếp nuôi con, nghĩa vụ, quyền của mỗi bên đối với con. Trường hợp không thỏa thuận được, Tòa án sẽ quyết định giao con cho một bên trực tiếp nuôi căn cứ vào quyền lợi về mọi mặt của con. Nếu con từ đủ 07 tuổi trở lên, cần xem xét nguyện vọng của con.",05_81_2
Trường hợp không thỏa thuận được thì Tòa án giao con cho một bên trực tiếp nuôi con căn cứ vào quyền lợi mọi mặt của con; nếu con đủ 7 tuổi trở lên thì xem xét nguyện vọng của con.,05_81_2
"Có, vợ chồng thỏa thuận về người trực tiếp nuôi con, nghĩa vụ, quyền của mỗi bên sau khi ly hôn đối với con; trường hợp không thỏa thuận được thì Tòa án giao con cho một bên trực tiếp nuôi con căn cứ vào quyền lợi mọi mặt của con; nếu con đủ 7 tuổi trở lên thì xem xét nguyện vọng của con.",05_81_2
"Theo Điều 81, con dưới 36 tháng tuổi sẽ được giao cho mẹ trực tiếp nuôi. Trường hợp người mẹ không đủ điều kiện để trực tiếp trông nom, chăm sóc, nuôi dưỡng, giáo dục con hoặc cha mẹ có thỏa thuận khác phù hợp với lợi ích của con.",05_81_3
"Có, con dưới 36 tháng tuổi được giao cho mẹ trực tiếp nuôi, nếu mẹ đủ điều kiện để trực tiếp nuôi con",05_81_3
Con dưới 36 tháng tuổi được giao cho mẹ trực tiếp nuôi.,05_81_3
"Theo Điều 82, cha, mẹ không trực tiếp nuôi con có nghĩa vụ tôn trọng quyền của con được sống chung với người trực tiếp nuôi.",05_82_1
"Không, cha mẹ không trực tiếp nuôi con có nghĩa vụ tôn trọng quyền của con được sống chung với người trực tiếp nuôi",05_82_1
"Theo Điều 82, cha, mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con.",05_82_2
"Có, cha mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con.",05_82_2
"Có, cha mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con.",05_82_2
"Có, cha không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con",05_82_2
"Có, mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con",05_82_2
"Theo Điều 82, sau khi ly hôn, người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",05_82_3
"Có, sau khi ly hôn người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",05_82_3
"Có, sau khi ly hôn người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",05_82_3
"Có, sau khi ly hôn người không trực tiếp nuôi con có quyền, nghĩa vụ thăm nom con mà không ai được cản trở.",05_82_3
