,question,answer,category,reward,feedback,,intent
,Kết hôn là gì,Kết hôn là việc nam và nữ xác lập quan hệ vợ chồng với nhau theo quy định về điều kiện kết hôn và đăng ký kết hôn.,CHUONG_1,1,,,1_3_5
,Định nghĩa của kết hôn là gì?,Kết hôn là việc nam và nữ xác lập quan hệ vợ chồng với nhau theo quy định về điều kiện kết hôn và đăng ký kết hôn.,CHUONG_1,1,,,1_3_5
17,Kết hôn trái pháp luật là gì?,"Kết hôn trái pháp luật là việc nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền nhưng một bên hoặc cả hai bên vi phạm điều kiện kết hôn theo quy định tại Điều 8.",CHUONG_1,1,,,1_3_6
,Khi nào tính là kết hôn trái pháp luật?,"Kết hôn trái pháp luật là việc nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền nhưng một bên hoặc cả hai bên vi phạm điều kiện kết hôn theo quy định tại Điều 8.",CHUONG_1,1,,,1_3_6
18,Kết hôn trái pháp luật có thể xảy ra khi nào?,"Kết hôn trái pháp luật xảy ra khi nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước nhưng vi phạm điều kiện kết hôn theo quy định tại Điều 8.",CHUONG_1,1,,,1_3_6
19,Chung sống như vợ chồng là gì?,"Chung sống như vợ chồng là việc nam, nữ tổ chức cuộc sống chung và coi nhau là vợ chồng.",CHUONG_1,1,,,1_3_7
,Nam và nữ sống chung với nhau có được tính như vợ chồng không?,"Theo quy định chung sống như vợ chồng là việc nam, nữ tổ chức cuộc sống chung và coi nhau là vợ chồng.",CHUONG_1,1,,,1_3_7
20,Tảo hôn là gì?,"Tảo hôn là việc lấy vợ, lấy chồng khi một bên hoặc cả hai bên chưa đủ tuổi kết hôn theo quy định tại điểm a khoản 1 Điều 8.",CHUONG_1,1,,,1_3_8
,Kết hôn chưa đủ tuổi theo quy định thì gọi là gì?,Được gọi là tảo hôn vì lấy vợ hoặc chồng khi một hoặc cả hai đều chưa đủ tuổi kết hôn.,CHUONG_1,1,,,1_3_8
21,"Cưỡng ép kết hôn, ly hôn là gì?","Cưỡng ép kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để buộc người khác phải kết hôn hoặc ly hôn trái với ý muốn của họ.",CHUONG_1,1,,,1_3_9
,Khi nào được tính là cưỡng ép kết hôn?,"Cưỡng ép kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để buộc người khác phải kết hôn hoặc ly hôn trái với ý muốn của họ.",CHUONG_1,1,,,1_3_9
,Đe dọa vợ hoặc chồng ly hôn gọi là gì?,"Được gọi là cưỡng ép ly hôn khi đe dọa uy hiếp tinh thần, hành hạ, ngược đãi, hành vi khác để buộc người khác phải ly hôn trái với ý muốn của họ.",CHUONG_1,1,,,1_3_9
22,"Cản trở kết hôn, ly hôn là gì?","Cản trở kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để ngăn cản việc kết hôn của người có đủ điều kiện kết hôn theo quy định hoặc buộc người khác phải duy trì quan hệ hôn nhân trái với ý muốn của họ.",CHUONG_1,1,,,1_3_10
,Cản trở ly hôn là gì?,"Cản trở ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để ngăn cản việc kết hôn của người có đủ điều kiện kết hôn theo quy định hoặc buộc người khác phải duy trì quan hệ hôn nhân trái với ý muốn của họ.",CHUONG_1,1,,,1_3_10
,Cản trở kết hôn là gì?,"Cản trở kết hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để ngăn cản việc kết hôn của người có đủ điều kiện kết hôn theo quy định hoặc buộc người khác phải duy trì quan hệ hôn nhân trái với ý muốn của họ.",CHUONG_1,1,,,1_3_10
23,Kết hôn giả tạo là gì?,"Kết hôn giả tạo là việc lợi dụng kết hôn để xuất cảnh, nhập cảnh, cư trú, nhập quốc tịch Việt Nam, quốc tịch nước ngoài; hưởng chế độ ưu đãi của Nhà nước hoặc để đạt được mục đích khác mà không nhằm mục đích xây dựng gia đình.",CHUONG_1,1,,,1_3_11
24,Yêu sách của cải trong kết hôn là gì?,"Yêu sách của cải trong kết hôn là việc đòi hỏi về vật chất một cách quá đáng và coi đó là điều kiện để kết hôn nhằm cản trở việc kết hôn tự nguyện của nam, nữ.",CHUONG_1,1,,,1_3_12
25,Thời kỳ hôn nhân là thời gian tính từ khi nào đến khi nào?,"Thời kỳ hôn nhân là khoảng thời gian tồn tại quan hệ vợ chồng, được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_13
,Hôn nhân được tính từ khi nào?,"Thời kỳ hôn nhân là khoảng thời gian tồn tại quan hệ vợ chồng, được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_13
,Thời kỳ hôn nhân là gì?,"Thời kỳ hôn nhân là khoảng thời gian tồn tại quan hệ vợ chồng, được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_13
26,Ly hôn là gì?,"Ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án.",CHUONG_1,1,,,1_3_14
27,Ly hôn giả tạo là gì?,"y hôn giả tạo là việc lợi dụng ly hôn để trốn tránh nghĩa vụ tài sản, vi phạm chính sách, pháp luật về dân số hoặc để đạt được mục đích khác mà không nhằm mục đích chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_15
,Ly hôn giả là gì?,"y hôn giả tạo là việc lợi dụng ly hôn để trốn tránh nghĩa vụ tài sản, vi phạm chính sách, pháp luật về dân số hoặc để đạt được mục đích khác mà không nhằm mục đích chấm dứt hôn nhân.",CHUONG_1,1,,,1_3_15
28,Thành viên gia đình bao gồm những ai?,"Thành viên gia đình bao gồm vợ, chồng; cha mẹ đẻ, cha mẹ nuôi, cha dượng, mẹ kế, cha mẹ vợ, cha mẹ chồng; con đẻ, con nuôi, con riêng của vợ hoặc chồng, con dâu, con rể; anh, chị, em cùng cha mẹ, anh, chị, em cùng cha khác mẹ, anh, chị, em cùng mẹ khác cha, anh rể, em rể, chị dâu, em dâu của người cùng cha mẹ hoặc cùng cha khác mẹ, cùng mẹ khác cha; ông bà nội, ông bà ngoại; cháu nội, cháu ngoại; cô, dì, chú, cậu, bác ruột và cháu ruột.",CHUONG_1,1,,,1_3_16
,Thành viên gia đình gồm ai?,"Thành viên gia đình bao gồm vợ, chồng; cha mẹ đẻ, cha mẹ nuôi, cha dượng, mẹ kế, cha mẹ vợ, cha mẹ chồng; con đẻ, con nuôi, con riêng của vợ hoặc chồng, con dâu, con rể; anh, chị, em cùng cha mẹ, anh, chị, em cùng cha khác mẹ, anh, chị, em cùng mẹ khác cha, anh rể, em rể, chị dâu, em dâu của người cùng cha mẹ hoặc cùng cha khác mẹ, cùng mẹ khác cha; ông bà nội, ông bà ngoại; cháu nội, cháu ngoại; cô, dì, chú, cậu, bác ruột và cháu ruột.",CHUONG_1,1,,,1_3_16
29,Những người cùng dòng máu về trực hệ là những ai?,"Những người cùng dòng máu về trực hệ là những người có quan hệ huyết thống, trong đó, người này sinh ra người kia kế tiếp nhau.",CHUONG_1,1,,,1_3_17
,Những người cùng dòng máu về trực hệ bao gồm ai?,"Những người cùng dòng máu về trực hệ là những người có quan hệ huyết thống, trong đó, người này sinh ra người kia kế tiếp nhau.",CHUONG_1,1,,,1_3_17
30,Những người có họ trong phạm vi ba đời là ai?,"Những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm cha mẹ là đời thứ nhất; anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha là đời thứ hai; anh, chị, em con chú, con bác, con cô, con cậu, con dì là đời thứ ba.",CHUONG_1,1,,,1_3_18
,Những người có họ trong phạm vi ba đời là ai?,"Những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm cha mẹ là đời thứ nhất; anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha là đời thứ hai; anh, chị, em con chú, con bác, con cô, con cậu, con dì là đời thứ ba.",CHUONG_1,1,,,1_3_18
31,Người thân thích là ai?,"Người thân thích là người có quan hệ hôn nhân, nuôi dưỡng, người có cùng dòng máu về trực hệ và người có họ trong phạm vi ba đời.",CHUONG_1,1,,,1_3_19
,Ai được tính là người thân thích?,"Những người được tính là người thân thích là người có quan hệ hôn nhân, nuôi dưỡng, người có cùng dòng máu về quan hệ và người có họ trong phạm vi ba đời",CHUONG_1,1,,,1_3_19
32,Nhu cầu thiết yếu là gì?,"Nhu cầu thiết yếu là nhu cầu sinh hoạt thông thường về ăn, mặc, ở, học tập, khám bệnh, chữa bệnh và nhu cầu sinh hoạt thông thường khác không thể thiếu cho cuộc sống của mỗi người, mỗi gia đình.",CHUONG_1,1,,,1_3_20
,Như thế nào được tính là nhu cầu thiết yếu?,"Nhu cầu thiết yếu được quy định như sau nhu cầu sinh hoạt thông thường về ăn, mặc,ở, học tập, khám bệnh chữa bệnh và nhu cầu sinh hoạt thông thường khác không thể thiếu cho cuộc sống của mỗi người, mỗi gia đình",CHUONG_1,1,,,1_3_20
33,Kỹ thuật nào được sử dụng trong việc sinh con bằng kỹ thuật hỗ trợ sinh sản?,"Trong việc sinh con bằng kỹ thuật hỗ trợ sinh sản, sử dụng thụ tinh nhân tạo hoặc thụ tinh trong ống nghiệm.",CHUONG_1,1,,,1_3_21
,Sinh con bằng kỹ thuật hỗ trợ sinh sản là gì?,Sinh con bằng kỹ thuật hỗ trợ sinh sản là sinh con bằng kỹ thuật thụ tinh nhân tạo hoặc thụ tinh trong ống nghiệm,CHUONG_1,1,,,1_3_21
,Sinh con bằng thụ tinh nhân tạo còn có tên gọi khác là gì?,Sinh con bằng kỹ thuật hỗ trợ sinh sản là sinh con bằng kỹ thuật thụ tinh nhân tạo hoặc thụ tinh trong ống nghiệm,CHUONG_1,1,,,1_3_21
34,Mục đích của việc mang thai hộ vì mục đích nhân đạo là gì?,Mục đích của việc mang thai hộ vì mục đích nhân đạo là giúp mang thai cho cặp vợ chồng mà người vợ không thể mang thai và sinh con ngay cả khi áp dụng kỹ thuật hỗ trợ sinh sản.,CHUONG_1,1,,,1_3_22
,Mang thai hộ là gì?,Mang thai hộ vì mục đích nhân tạo là việc một người phụ nữ tự nguyện không vì mục đích thương mại giúp mang thai cho vợ chồng mà người vợ không thể mang thai và sinh con khi áp dụng phương pháp sinh con bằng kỹ thuật.,CHUONG_1,1,,,1_3_22
,Mang thai hộ được làm như thế nào?,Mang thai hộ được thực hiện bằng cách lấy noãn của người vợ và tinh trùng của người chồng để thụ tinh trong ống nghiệm sau đó cấy vào tử cung của người phụ nữ tự nguyện mang thai để người này mang thai và sinh con,CHUONG_1,1,,,1_3_22
35,Việc mang thai hộ vì mục đích thương mại là gì?,Việc mang thai hộ vì mục đích thương mại là việc một người phụ nữ mang thai cho người khác với mục đích nhận lợi ích về mặt kinh tế hoặc lợi ích khác.,CHUONG_1,1,,,1_3_23
,Mang thai hộ để đổi lấy lợi ích được gọi là gì?,Việc mang thai hộ vì lợi ích hoặc kinh tế được gọi là mang thai hộ vì mục đích thương mại,CHUONG_1,1,,,1_3_23
36,Định nghĩa cấp dưỡng theo quy định của Luật này là gì?,"Cấp dưỡng là việc một người có nghĩa vụ đóng góp tiền hoặc tài sản khác để đáp ứng nhu cầu thiết yếu của người không sống chung với mình mà có quan hệ hôn nhân, huyết thống hoặc nuôi dưỡng theo quy định của Luật này.",CHUONG_1,1,,,1_3_24
,Cấp dưỡng là gì?,"Cấp dưỡng là việc một người có nghĩa vụ đóng góp tiền hoặc tài sản khác để đáp ứng nhu cầu thiết yếu của người không sống chung với mình mà có quan hệ hôn nhân, huyết thống hoặc nuôi dưỡng theo quy định của Luật này.",CHUONG_1,1,,,1_3_24
,Cấp dưỡng định nghĩa như thế nào?,"Cấp dưỡng là một người có nghĩa vụ đóng góp tiền hoặc tài sản khác để đáp ứng nhu cầu thiết yếu của người không sống chung với mình quan hệ hôn nhân, huyết thống hoặc nuôi dưỡng trong trường hợp người đó là người chưa thành niên.",CHUONG_1,1,,,1_3_24
37,Quan hệ hôn nhân và gia đình có yếu tố nước ngoài là gì?,"Quan hệ hôn nhân và gia đình có yếu tố nước ngoài là quan hệ hôn nhân và gia đình mà ít nhất một bên tham gia là người nước ngoài, người Việt Nam định cư ở nước ngoài; quan hệ hôn nhân và gia đình giữa các bên tham gia là công dân Việt Nam nhưng căn cứ để xác lập, thay đổi, chấm dứt quan hệ đó theo pháp luật nước ngoài, phát sinh tại nước ngoài hoặc tài sản liên quan đến quan hệ đó ở nước ngoài.",CHUONG_1,1,,,1_3_25
,Quan hệ hôn nhân và gia đình có yếu tố nước ngoài là gì?,"Là quan hệ hôn nhân và gia đình có ít nhất một bên là người nước ngoài, người Việt Nam định cư ở nước ngoài.",CHUONG_1,1,,,1_3_25
38,Thời kỳ hôn nhân được tính từ khi nào đến khi nào?,Thời kỳ hôn nhân được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.,CHUONG_1,1,,,1_3_13
39,Có bao nhiêu người được xem là thành viên gia đình?,"hành viên gia đình bao gồm vợ, chồng; cha mẹ đẻ, cha mẹ nuôi, cha dượng, mẹ kế, cha mẹ vợ, cha mẹ chồng; con đẻ, con nuôi, con riêng của vợ hoặc chồng, con dâu, con rể; anh, chị, em cùng cha mẹ, anh, chị, em cùng cha khác mẹ, anh, chị, em cùng mẹ khác cha, anh rể, em rể, chị dâu, em dâu của người cùng cha mẹ hoặc cùng cha khác mẹ, cùng mẹ khác cha; ông bà nội, ông bà ngoại; cháu nội, cháu ngoại; cô, dì, chú, cậu, bác ruột và cháu ruột.",CHUONG_1,1,,,1_3_16
40,Điều kiện nào làm việc kết hôn trái pháp luật?,Kết hôn trái pháp luật là khi một hoặc cả hai bên vi phạm điều kiện kết hôn theo quy định tại Điều 8 của Luật này khi đã đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền.,CHUONG_1,1,,,1_3_6
41,"Theo pháp luật, Nhà nước có những biện pháp nào để bảo hộ hôn nhân và gia đình ở Việt Nam?","Nhà nước có chính sách, biện pháp bảo hộ hôn nhân và gia đình, tạo điều kiện để nam, nữ xác lập hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng; xây dựng gia đình ấm no, tiến bộ, hạnh phúc và thực hiện đầy đủ chức năng của mình; tăng cường tuyên truyền, phổ biến, giáo dục pháp luật về hôn nhân và gia đình; vận động nhân dân xóa bỏ phong tục, tập quán lạc hậu về hôn nhân và gia đình, phát huy truyền thống, phong tục, tập quán tốt đẹp thể hiện bản sắc của mỗi dân tộc.",CHUONG_1,1,,,1_4_1
,Trách nhiệm của nhà nước về chính sách đối với hôn nhân và gia đình như thế nào?,"Nhà nước có chính sách, biện pháp bảo hộ hôn nhân và gia đình, tạo điều kiện để nam, nữ xác lập hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng; xây dựng gia đình ấm no, tiến bộ, hạnh phúc và thực hiện đầy đủ chức năng của mình; tăng cường tuyên truyền, phổ biến, giáo dục pháp luật về hôn nhân và gia đình; vận động nhân dân xóa bỏ phong tục, tập quán lạc hậu về hôn nhân và gia đình, phát huy truyền thống, phong tục, tập quán tốt đẹp thể hiện bản sắc của mỗi dân tộc.",CHUONG_1,1,,,1_4_1
,Nhà nước cần làm gì để bảo hộ hôn nhân và gia đình?,"Nhà nước có chính sách, biện pháp bảo hộ hôn nhân và gia đình, tạo điều kiện để nam, nữ xác lập hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng; xây dựng gia đình ấm no, tiến bộ, hạnh phúc và thực hiện đầy đủ chức năng của mình; tăng cường tuyên truyền, phổ biến, giáo dục pháp luật về hôn nhân và gia đình; vận động nhân dân xóa bỏ phong tục, tập quán lạc hậu về hôn nhân và gia đình, phát huy truyền thống, phong tục, tập quán tốt đẹp thể hiện bản sắc của mỗi dân tộc.",CHUONG_1,1,,,1_4_1
42,"Làm thế nào Chính phủ thống nhất quản lý nhà nước về hôn nhân và gia đình, và ai chịu trách nhiệm thực hiện theo sự phân công của Chính phủ?","Chính phủ thống nhất quản lý nhà nước về hôn nhân và gia đình. Các bộ, cơ quan ngang bộ thực hiện quản lý nhà nước về hôn nhân và gia đình theo sự phân công của Chính phủ. Ủy ban nhân dân các cấp và các cơ quan khác thực hiện quản lý nhà nước về hôn nhân và gia đình theo quy định của pháp luật.",CHUONG_1,1,,,1_4_2
,Chính phủ làm gì để quản lý nhà nước về hôn nhân và gia đình?,"Chính phủ thống nhất quản lý nhà nước về hôn nhân và gia đình. Các bộ, cơ quan ngang bộ thực hiện quản lý nhà nước về hôn nhân và gia đình theo sự phân công của Chính phủ. Ủy ban nhân dân các cấp và các cơ quan khác thực hiện quản lý nhà nước về hôn nhân và gia đình theo quy định của pháp luật.",CHUONG_1,1,,,1_4_2
,Chính phủ quản lý nhà nước về hôn nhân như thế nào?,"Chính phủ thống nhất quản lý nhà nước về hôn nhân và gia đình. Các bộ, cơ quan ngang bộ thực hiện quản lý nhà nước về hôn nhân và gia đình theo sự phân công của Chính phủ. Ủy ban nhân dân các cấp và các cơ quan khác thực hiện quản lý nhà nước về hôn nhân và gia đình theo quy định của pháp luật.",CHUONG_1,1,,,1_4_2
43,"Cơ quan, tổ chức nào có trách nhiệm giáo dục và vận động nhân dân xây dựng gia đình văn hóa theo quy định của pháp luật?","Cơ quan, tổ chức có trách nhiệm giáo dục, vận động cán bộ, công chức, viên chức, người lao động, các thành viên của mình và mọi công dân xây dựng gia đình văn hóa; kịp thời hòa giải mâu thuẫn trong gia đình, bảo vệ quyền, lợi ích hợp pháp của các thành viên gia đình.",CHUONG_1,1,,,1_4_3
,"Cơ quan và tổ chức có trách nhiệm gì với hôn nhân của các cá nhân, công dân?","Cơ quan, tổ chức có trách nhiệm giáo dục, vận động cán bộ, công chức, viên chức, người lao động, các thành viên của mình và mọi công dân xây dựng gia đình văn hóa; kịp thời hòa giải mâu thuẫn trong gia đình, bảo vệ quyền, lợi ích hợp pháp của các thành viên gia đình.",CHUONG_1,1,,,1_4_3
,"Trách nhiệm của cơ quản, tổ chức với hôn nhân và gia đình của công dân?","Cơ quan, tổ chức có trách nhiệm giáo dục, vận động cán bộ, công chức, viên chức, người lao động, các thành viên của mình và mọi công dân xây dựng gia đình văn hóa; kịp thời hòa giải mâu thuẫn trong gia đình, bảo vệ quyền, lợi ích hợp pháp của các thành viên gia đình.",CHUONG_1,1,,,1_4_3
44,Nhà trường cần phối hợp với gia đình như thế nào trong việc giáo dục và tuyên truyền về pháp luật hôn nhân và gia đình cho thế hệ trẻ?,"Nhà trường phối hợp với gia đình trong việc giáo dục, tuyên truyền, phổ biến pháp luật về hôn nhân và gia đình cho thế hệ trẻ.",CHUONG_1,1,,,1_4_3
45,"Biện pháp nào được đề xuất để vận động nhân dân xóa bỏ phong tục, tập quán lạc hậu về hôn nhân và gia đình theo hướng phát huy truyền thống tốt đẹp của mỗi dân tộc?","Đề xuất biện pháp vận động nhân dân xóa bỏ phong tục, tập quán lạc hậu về hôn nhân và gia đình bằng cách phát huy truyền thống, phong tục, tập quán tốt đẹp thể hiện bản sắc của mỗi dân tộc.",CHUONG_1,1,,,1_4_1
