,question,answer,feedback,reward,category,intent
,Luật Hôn nhân và gia đình có áp dụng khi kết hôn với người nước ngoài không?,"Có, các quy định của pháp luật về hôn nhân và gia đình của nước Cộng hòa xã hội chủ nghĩa Việt Nam được áp dụng đối với quan hệ hôn nhân và gia đình có yếu tố nước ngoài.",,1,,08_122_1
,"Khi người Việt và người nước ngoài kết hôn, luật nước ta có áp dụng được không?","Có, các quy định của pháp luật về hôn nhân và gia đình của nước Cộng hòa xã hội chủ nghĩa Việt Nam được áp dụng đối với quan hệ hôn nhân và gia đình có yếu tố nước ngoài.",,1,,08_122_1
6,"Khi có dẫn chiếu từ các văn bản pháp luật khác của Việt Nam về việc áp dụng pháp luật nước ngoài, thì áp dụng pháp luật nước ngoài như thế nào?","Trong trường hợp Luật này và các văn bản pháp luật khác của Việt Nam có dẫn chiếu về việc áp dụng pháp luật nước ngoài, thì áp dụng pháp luật nước ngoài. Nếu việc áp dụng đó không trái với các nguyên tắc cơ bản được quy định tại Điều 2 của Luật này. Trong trường hợp pháp luật nước ngoài dẫn chiếu trở lại pháp luật Việt Nam thì áp dụng pháp luật về hôn nhân và gia đình Việt Nam.",,1,CHUONG08,08_122_2
7,"Khi có dẫn chiếu từ điều ước quốc tế mà Việt Nam là thành viên về việc áp dụng pháp luật nước ngoài, thì áp dụng pháp luật nước ngoài như thế nào?",Trong trường hợp điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên có dẫn chiếu về việc áp dụng pháp luật nước ngoài thì pháp luật nước ngoài được áp dụng.,,1,CHUONG08,08_123_1
,Đăng kí hộ tịch khi kết hôn với người nước ngoài thực hiện theo quy định nào?,Thẩm quyền đăng ký hộ tịch liên quan đến các quan hệ hôn nhân và gia đình có yếu tố nước ngoài được thực hiện theo quy định của pháp luật về hộ tịch.,,1,,08_123_1
8,Thẩm quyền đăng ký hộ tịch liên quan đến quan hệ hôn nhân và gia đình có yếu tố nước ngoài được thực hiện như thế nào?,Thẩm quyền đăng ký hộ tịch liên quan đến các quan hệ hôn nhân và gia đình có yếu tố nước ngoài được thực hiện theo quy định của pháp luật về hộ tịch.,,1,CHUONG08,08_123_1
9,Thẩm quyền giải quyết các vụ việc hôn nhân và gia đình có yếu tố nước ngoài tại Tòa án được thực hiện như thế nào?,Thẩm quyền giải quyết các vụ việc hôn nhân và gia đình có yếu tố nước ngoài tại Tòa án được thực hiện theo quy định của Bộ luật tố tụng dân sự.,,1,CHUONG08,08_123_2
,Tòa án có giải quyết hôn nhân Việt và Mỹ được không?,Thẩm quyền giải quyết các vụ việc hôn nhân và gia đình có yếu tố nước ngoài tại Tòa án được thực hiện theo quy định của Bộ luật tố tụng dân sự.,,1,,08_123_2
10,Tòa án nhân dân cấp huyện có thẩm quyền giải quyết những vụ việc nào liên quan đến hôn nhân và gia đình có yếu tố nước ngoài?,"Tòa án nhân dân cấp huyện có thẩm quyền giải quyết việc hủy việc kết hôn trái pháp luật, giải quyết việc ly hôn, các tranh chấp về quyền và nghĩa vụ của vợ chồng, cha mẹ và con, về nhận cha, mẹ, con, nuôi con nuôi và giám hộ giữa công dân Việt Nam cư trú ở khu vực biên giới với công dân của nước láng giềng cùng cư trú ở khu vực biên giới với Việt Nam theo quy định của Luật này và các quy định khác của pháp luật Việt Nam.",,1,CHUONG08,08_123_3
,Tòa án nhân dân cấp huyện có thẩm quyền giải quyết những vấn đề nào về hôn nhân và gia đình?,"Tòa án nhân dân cấp huyện có thẩm quyền hủy việc kết hôn trái pháp luật, giải quyết việc ly hôn, cũng như các tranh chấp liên quan đến quyền và nghĩa vụ của vợ chồng, cha mẹ và con. Ngoài ra, tòa án cũng xử lý vấn đề nhận cha, mẹ, con, nuôi con nuôi và giám hộ giữa công dân Việt Nam và công dân của nước láng giềng cùng cư trú ở khu vực biên giới với Việt Nam.",,1,,08_123_3
11,"Khi sử dụng giấy tờ về hôn nhân và gia đình do cơ quan nước ngoài lập, cấp hoặc xác nhận, giấy tờ đó cần phải được làm gì?","Giấy tờ do cơ quan có thẩm quyền của nước ngoài lập, cấp hoặc xác nhận để sử dụng giải quyết các vụ việc hôn nhân và gia đình thì phải được hợp pháp hóa lãnh sự, trừ trường hợp được miễn hợp pháp hóa lãnh sự theo điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên hoặc theo nguyên tắc có đi có lại.",,1,CHUONG08,08_124
,Giấy tờ cần có những gì trong việc giải quyết các vụ việc hôn nhân và gia đình có thành viên là người nước ngoài?,"Giấy tờ do cơ quan có thẩm quyền của nước ngoài lập, cấp hoặc xác nhận cho việc giải quyết các vụ việc hôn nhân và gia đình được hợp pháp hóa lãnh sự, quy trình phải tuân theo các quy định pháp luật của quốc gia đó.",,1,,08_124
,"Khi có vấn đề cần giải quyết các vụ hôn nhân và gia đình liên quan đến nước ngoài, cần chuẩn bị giấy tờ nào?","Giấy tờ do cơ quan có thẩm quyền của nước ngoài lập, cấp hoặc xác nhận cho việc giải quyết các vụ việc hôn nhân và gia đình được hợp pháp hóa lãnh sự, quy trình phải tuân theo các quy định pháp luật của quốc gia đó.",,1,,08_124
12,"Việc công nhận bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài tại Việt Nam được thực hiện như thế nào?","Việc công nhận bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài có yêu cầu thi hành tại Việt Nam được thực hiện theo quy định của Bộ luật tố tụng dân sự.",,1,CHUONG08,08_125_1
,"Giải quyết vụ kiện, tranh chấp hôn nhân có chồng là người nước ngoài thì có thực hiện ở Việt Nam được không?","Việc công nhân bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài có yêu cầu thi hành tại Việt Nam được thực hiện theo quy định của Bộ luật tố tụng dân sự",,1,,08_125_1
,Các bản án về hôn nhân của vợ nước ngoài khi thi hành ở Việt Nam thì như thế náo?,"Việc công nhân bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài có yêu cầu thi hành tại Việt Nam được thực hiện theo quy định của Bộ luật tố tụng dân sự",,1,,08_125_1
13,"Chính phủ quy định việc gì liên quan đến bản án, quyết định về hôn nhân và gia đình của Tòa án nước ngoài?","Chính phủ quy định việc ghi vào sổ hộ tịch các việc về hôn nhân và gia đình theo bản án, quyết định của Tòa án nước ngoài mà không có yêu cầu thi hành tại Việt Nam hoặc không có đơn yêu cầu không công nhận tại Việt Nam; quyết định về hôn nhân và gia đình của cơ quan khác có thẩm quyền của nước ngoài.",,1,CHUONG08,08_125_2
14,"Trong việc kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo điều gì?","Trong việc kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo pháp luật của nước mình về điều kiện kết hôn; nếu việc kết hôn được tiến hành tại cơ quan nhà nước có thẩm quyền của Việt Nam thì người nước ngoài còn phải tuân theo các quy định của Luật này về điều kiện kết hôn.",,1,CHUONG08,08_126_1
,Khi kết hôn giữa người Việt và người nước ngoài phải tuân theo gì?,"Khi kết hôn giữa công dân Việt Nam với người nước ngoài, mỗi bên phải tuân theo luật của nước mình về điều kiện kết hôn.",,1,,08_126_1
,Người nước ngoài tiến hành kết hôn ở cơ quan nhà nước Việt Nam thì cần lưu ý gì?,Nếu việc kết hôn được tiếng hành tại cơ quan nhà nước có thẩm quyền của Việt Nam thì người nước ngoài còn phải tuân theo các quy định của pháp luật Việt Nam về điều kiện kết hôn,,1,,08_126_1
15,Việc kết hôn giữa những người nước ngoài thường trú ở Việt Nam phải tuân theo điều gì?,Việc kết hôn giữa những người nước ngoài thường trú ở Việt Nam tại cơ quan có thẩm quyền của Việt Nam phải tuân theo các quy định của Luật này về điều kiện kết hôn.,,1,CHUONG08,08_126_2
,Kết hôn của người nước ngoài thường trú ở Việt Nam thì tuân theo quy định gì?,Việc kết hôn giữa những người nước ngoài thường trú ở Việt Nam tại cơ quan có thẩm quyền của Việt Nam phải tuân theo các quy định của Luật này về điều kiện kết hôn.,,1,,08_126_2
16,"Việc ly hôn giữa công dân Việt Nam với người nước ngoài, giữa người nước ngoài với nhau thường trú ở Việt Nam được giải quyết ở đâu?","Việc ly hôn giữa công dân Việt Nam với người nước ngoài, giữa người nước ngoài với nhau thường trú ở Việt Nam được giải quyết tại cơ quan có thẩm quyền của Việt Nam theo quy định của Luật này.",,1,CHUONG08,08_127_1
17,"Trong trường hợp bên là công dân Việt Nam không thường trú ở Việt Nam vào thời điểm yêu cầu ly hôn, việc giải quyết ly hôn được thực hiện như thế nào?","Trong trường hợp bên là công dân Việt Nam không thường trú ở Việt Nam vào thời điểm yêu cầu ly hôn, việc ly hôn được giải quyết theo pháp luật của nước nơi thường trú chung của vợ chồng; nếu họ không có nơi thường trú chung thì giải quyết theo pháp luật Việt Nam.",,1,CHUONG08,08_127_2
18,"Khi giải quyết tài sản là bất động sản ở nước ngoài khi ly hôn, quy định như thế nào?",Việc giải quyết tài sản là bất động sản ở nước ngoài khi ly hôn tuân theo pháp luật của nước nơi có bất động sản đó.,,1,CHUONG08,08_127_3
,Ly hôn với chồng người nước ngoài có được chia đôi tài sản theo quy định của luật Việt Nam không?,Việc giải quyết tài sản là bất động sản ở nước ngoài khi ly hôn tuân theo pháp luật của nước nơi có bất động sản đó.,,1,,08_127_3
19,"Việc xác định cha, mẹ, con mà không có tranh chấp giữa công dân Việt Nam với người nước ngoài, giữa công dân Việt Nam với nhau mà ít nhất một bên định cư ở nước ngoài, giữa người nước ngoài với nhau mà ít nhất một bên thường trú tại Việt Nam được giải quyết ở đâu?","Cơ quan đăng ký hộ tịch Việt Nam có thẩm quyền giải quyết việc xác định cha, mẹ, con mà không có tranh chấp giữa công dân Việt Nam với người nước ngoài, giữa công dân Việt Nam với nhau mà ít nhất một bên định cư ở nước ngoài, giữa người nước ngoài với nhau mà ít nhất một bên thường trú tại Việt Nam theo quy định của pháp luật về hộ tịch.",,1,CHUONG08,08_128_1
20,"Việc xác định cha, mẹ, con có yếu tố nước ngoài đối với các trường hợp quy định tại luật hôn nhân và gia đình năm 2014 được giải quyết ở đâu?","Tòa án có thẩm quyền của Việt Nam giải quyết việc xác định cha, mẹ, con có yếu tố nước ngoài đối với các trường hợp quy định tại khoản 2 Điều 88, Điều 89, Điều 90, khoản 1, khoản 5 Điều 97, khoản 3, khoản 5 Điều 98 và Điều 99 của Luật này; các trường hợp khác có tranh chấp.",,1,CHUONG08,08_128_2
21,Nghĩa vụ cấp dưỡng tuân theo pháp luật của đâu?,Nghĩa vụ cấp dưỡng tuân theo pháp luật của nước nơi người yêu cầu cấp dưỡng cư trú. Trường hợp người yêu cầu cấp dưỡng không có nơi cư trú tại Việt Nam thì áp dụng pháp luật của nước nơi người yêu cầu cấp dưỡng là công dân.,,1,CHUONG08,08_129_1
22,Cơ quan có thẩm quyền giải quyết đơn yêu cầu cấp dưỡng của người quy định tại khoản 1 Điều này là cơ quan của đâu?,Cơ quan có thẩm quyền giải quyết đơn yêu cầu cấp dưỡng của người quy định tại khoản 1 Điều này là cơ quan của nước nơi người yêu cầu cấp dưỡng cư trú.,,1,CHUONG08,08_129_2
23,"Trong trường hợp có yêu cầu giải quyết việc áp dụng chế độ tài sản của vợ chồng theo thỏa thuận có yếu tố nước ngoài, thì cơ quan nào có thẩm quyền của Việt Nam sẽ giải quyết?","Trong trường hợp có yêu cầu giải quyết việc áp dụng chế độ tài sản của vợ chồng theo thỏa thuận có yếu tố nước ngoài, cơ quan có thẩm quyền của Việt Nam sẽ áp dụng các quy định của Luật này và các luật khác có liên quan của Việt Nam để giải quyết.",,1,CHUONG08,08_130
24,"Việc giải quyết hậu quả của việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn có yếu tố nước ngoài được thực hiện như thế nào?","Việc giải quyết hậu quả của việc nam, nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn có yếu tố nước ngoài sẽ được cơ quan có thẩm quyền của Việt Nam áp dụng các quy định của Luật này và các luật khác có liên quan của Việt Nam để giải quyết.",,1,CHUONG08,08_130
