,question,answer,feedback,reward,category,intent
,Quyền và nghĩa vụ của cha mẹ đối với trẻ chưa thành niên?,"Trông nom, nuôi dưỡng, chăm sóc bảo vệ quyền, lợi ích hợp pháp của con chưa thành niên, Giám hộ hoặc đại diện theo quy định của Bộ luật dân sư, không được phân biệt đối xử với con trên cơ sở giới tính hoặc theo tình trạng hôn nhân của cha mẹ. Không được lạm dụng sức lao động của con chưa thành niên, không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",,1,CHUONG05,05_69_1
,Quyền và nghĩa vụ của cha mẹ?,"Cha mẹ có nghĩa vụ và quyền bao gồm thương yêu con, tôn trọng ý kiến của con; chăm lo việc học tập, giáo dục để con phát triển lành mạnh về thể chất, trí tuệ, đạo đức, trở thành người con hiếu thảo của gia đình, công dân có ích cho xã hội. Đồng thời, cha mẹ cũng có trách nhiệm trông nom, nuôi dưỡng, chăm sóc, bảo vệ quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình. Cha mẹ còn có trách nhiệm giám hộ hoặc đại diện theo quy định của Bộ luật dân sự cho con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự. Đồng thời, cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ; không được lạm dụng sức lao động của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động; không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",,1,CHUONG05,05_69_1
6,Cha mẹ có trách nhiệm gì đối với con đã thành niên mất năng lực hành vi dân sự?,"Theo Điều 69, cha mẹ có trách nhiệm trông nom, nuôi dưỡng, chăm sóc, bảo vệ quyền, lợi ích hợp pháp của con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG05,05_69_2
7,Có quy định gì về phân biệt đối xử của cha mẹ đối với con?,"Theo Điều 69, cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ; không được lạm dụng sức lao động của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động; không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",,1,CHUONG05,05_69_4
,Pháp luật quy định gì về cha mẹ phân biệt đối xử con?,Cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ,,1,CHUONG05,05_69_4
,Cha mẹ không được phân biệt đối xử con trên các cơ sở nào?,Cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ,,1,CHUONG05,05_69_4
8,Con có những quyền và nghĩa vụ gì đối với cha mẹ theo luật hôn nhân và gia đình Việt Nam?,"Theo Điều 70, con có quyền được thương yêu, tôn trọng, phát triển lành mạnh về thể chất, trí tuệ và đạo đức; cũng như bổn phận yêu quý, kính trọng gia đình.",,1,CHUONG05,05_70_1
,Trường hợp con bị mất năng lực hành vị dân sự có quyền và nghĩa vụ gì đối với cha mẹ?,"Con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình thì có quyền sống chung cha mẹ, được cha mẹ trông nom, nuôi dưỡng, chăm sóc.",,1,CHUONG05,05_70_3
,Đối với trẻ chưa thành niên có quyền và nghĩa vụ gì?,"Con chưa thành niên có quyền sống chung với cha mẹ được cha mẹ trông nom nuôi dưỡng chăm sóc tham gia công việc gia đình phù hợp với lứa tuổi và không trái quy định của pháp luật về bảo vệ, chăm sóc và giáo dục trẻ em. ",,1,CHUONG05,05_70_3
,Quyền và nghĩa vụ của con đối với cha mẹ là gì?,"Quyền được cha mẹ thương yêu, tôn trọng, thực hiện các quyền, lợi ích hợp pháp về nhân thân và tài sản theo quy định của pháp luật, được học tập và giáo dục; được phát triển lành mạnh về thể chất; trí tuệ và đạo đức. Có bổn phân yêu quý, kính trọng, biết ơn, hiếu thảo, phụng dưỡng cha mẹ, giữ gìn danh dự, truyền thống tốt đẹp của gia đình.",,1,CHUONG05,05_70_1
9,Con đã thành niên sống cùng cha mẹ có nghĩa vụ gì đối với gia đình theo quy định của luật hôn nhân và gia đình?,"Theo Điều 70, con có nghĩa vụ tham gia công việc gia đình, lao động, sản xuất, tạo thu nhập nhằm đáp ứng nhu cầu của gia đình, và đóng góp thu nhập vào việc duy trì đời sống chung.",,1,CHUONG05,05_70_4
,"Theo quy định của pháp luật, con đã thành niên có trách nhiệm gì với công việc gia đình?","Khi sống cùng với cha mẹ, con có nghĩa vụ tham gia công việc gia đình, lao động, sản xuất, tạo thu nhập nhằm bảo đảm đời sống chung của gia đình; đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình phù hợp với khả năng của mình.",,1,CHUONG05,05_70_4
,"Khi sống cùng cha mẹ, con đã thành niên có quyền và nghĩa vụ gì?","Khi sống cùng cha mẹ, con có nghĩa vụ tham gia công việc gia đình, lao động, sản xuất; tạo thu nhập nhằm bảo đảm đời sống chung của gia đình; đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình phù hợp với khả năng của mình",,1,CHUONG05,05_70_4
,Con có phải đóng góp vào công việc hoặc thu nhập gia đình không?,"Có, khi sống cùng cha mẹ, con có nghĩa vụ tham gia công việc gia đình,lao động, sản xuất; tạo thu nhập nhằm đảm bảo đời sống chung của gia đình; đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình phù hợp với khả năng của mình.",,1,CHUONG05,05_70_4
,Quyền và nghĩa vụ của con đã thành niên là gì?,"Con đã thành niên có quyền tự do lựa chọn nghề nghiệp, nơi cư trú, học hập, nâng cao trình độ văn hóa, chuyên môn, nghiệp vụ, tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội theo nguyên vọng và khả năng của mình.",,1,CHUONG05,05_70_4
10,Con có quyền gì đối với tài sản của gia đình theo luật hôn nhân và gia đình?,"Theo Điều 70, con có quyền được hưởng quyền về tài sản tương xứng với công sức đóng góp vào tài sản của gia đình.",,1,CHUONG05,05_70_5
,Con có được hưởng tài sản của gia đình không?,"Có, con được hưởng quyền về tài sản tương xứng với công sức đóng góp vào tài sản gia đình.",,1,CHUONG05,05_70_5
,Đối với tài sản của gia đình con có quyền lợi gì?,Con được hưởng quyền về tài sản tương xứng với công sức đóng góp vào tài sản gia đình.,,1,CHUONG05,05_70_5
11,"Cha, mẹ có nghĩa vụ và quyền gì đối với việc chăm sóc, nuôi dưỡng con theo luật hôn nhân và gia đình?","Theo Điều 71, cha, mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG05,05_71_1
,Trường hợp nào cha mẹ có nghĩa vụ và quyền chăm sóc nuôi dưỡng con?,"Trường hợp con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình cha mẹ có nghĩa vụ và quyền cùng nhau chăm sóc nuôi dưỡng con",,1,CHUONG05,05_71_1
,Ai có quyền nghĩa vụ nuôi con?,"Cha, mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG05,05_71_1
,Cha hay mẹ bên nào có nghĩa vụ và quyền nuôi con hơn?,"Cha, mẹ có nghĩa vụ và quyền ngang nhau, cùng nhau chăm sóc, nuôi dưỡng con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG05,05_71_1
12,"Con có nghĩa vụ và quyền gì đối với việc chăm sóc, nuôi dưỡng cha, mẹ theo luật hôn nhân và gia đình?","Theo Điều 71, con có nghĩa vụ và quyền chăm sóc, nuôi dưỡng cha mẹ, đặc biệt khi cha mẹ mất năng lực hành vi dân sự, ốm đau, già yếu, khuyết tật; trường hợp gia đình có nhiều con thì các con phải cùng nhau chăm sóc, nuôi dưỡng cha mẹ.",,1,CHUONG05,05_71_2
,Trường hợp nào con phải chăm sóc cha mẹ?,"Con có nghĩa vụ và quyền chăm sóc, nuôi dưỡng cha mẹ, đặc biệt khi cha mẹ mất năng lực hành vi dân sự, ốm đau, già yếu, khuyết tật.",,1,CHUONG05,05_71_2
,Gia đình có nhiều con ai phải chăm sóc cha mẹ?,"Đối với gia đình có nhiều con thì các con phải cùng nhau chăm sóc, nuôi dưỡng cha mẹ",,1,CHUONG05,05_71_2
,Con có phải nuôi dưỡng cha mẹ không?,"Con có nghĩa vụ và quyền chăm sóc, nuôi dưỡng cha mẹ, đặc biệt khi cha mẹ mất năng lực hành vi dân sự, ốm đau, già yếu, khuyết tật.",,1,CHUONG05,05_71_2
13,"Cha, mẹ có nghĩa vụ và quyền gì trong việc giáo dục con theo luật hôn nhân và gia đình?","Theo Điều 72, cha mẹ có nghĩa vụ và quyền giáo dục con, chăm lo và tạo điều kiện cho con học tập. Cha mẹ tạo điều kiện cho con được sống trong môi trường gia đình đầm ấm, hòa thuận; làm gương tốt cho con về mọi mặt; phối hợp chặt chẽ với nhà trường, cơ quan, tổ chức trong việc giáo dục con.",,1,CHUONG05,05_72_1
,"Theo quy định, cha mẹ phải thực hiện quyền giáo dục con như thế nào?","Cha mẹ có nghĩa vụ và quyền giáo dục con, chăm lo và tạo điều kiện cho con học tập, được sống trong moi trường gia đình đầm ấm, hòa thuận, làm gương tốt cho về mọi mặt, phối hợp chặt chẽ với nhà trường, cơ quan, tổ chức trong việc giáo dục con.",,1,CHUONG05,05_72_1
14,"Cha, mẹ có nghĩa vụ và quyền gì trong việc hướng dẫn con chọn nghề theo luật hôn nhân và gia đình?","Theo Điều 72, cha mẹ hướng dẫn con chọn nghề; tôn trọng quyền chọn nghề, quyền tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội của con.",,1,CHUONG05,05_72_2
,Cha mẹ có quyền cấm con học nghề con muốn không?,"Không, cha mẹ có quyền hướng dẫn con chọn nghề; tôn trọng quyền chọn nghề.",,1,CHUONG05,05_72_2
,Cha mẹ có quyền cấm con tham gia các hoạt động chính trị không?,"Không, theo quy định Luật Hôn nhân và gia đình cha mẹ tôn trọng quyền tham gia hoạt động chính trị, kinh tế, văn hóa, xã hội của con.",,1,CHUONG05,05_72_2
,Cha mẹ có thể ép buộc con chọn nghề mà ba mẹ muốn không?,"Không, cha mẹ có quyền hướng dẫn con chọn nghề; tôn trọng quyền chọn nghề.",,1,CHUONG05,05_72_2
,Cha mẹ có quyền hướng dẫn con chọn nghề không?,Có cha mẹ có quyền hướng dẫn con chọn nghề.,,1,CHUONG05,05_72_2
15,"Cha, mẹ có quyền đề nghị sự giúp đỡ từ cơ quan, tổ chức nào khi gặp khó khăn trong việc giáo dục con theo luật hôn nhân và gia đình?","Theo Điều 72, cha mẹ có thể đề nghị cơ quan, tổ chức hữu quan giúp đỡ để thực hiện việc giáo dục con khi gặp khó khăn không thể tự giải quyết được.",,1,CHUONG05,05_72_3
,Trường hợp cha mẹ gặp khó khăn trong việc giáo dục con phải làm gì?,"Trường hợp gặp khó khăn không thể tự giải quyết được trong giáo dục con, cha mẹ có thể đề nghị cơ quan, tổ chức hữu quan để giúp đỡ.",,1,CHUONG05,05_72_3
,Khi có khó khăn không thể giải quyết trong việc giáo dục con phải làm gì?,Cha mẹ có thể đề nghị cơ quan tổ chức hữu quan giúp đỡ để thực hiện việc giáo dục con.,,1,CHUONG05,05_72_3
16,"Ai là người đại diện theo pháp luật của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự?","Theo Điều 73, cha mẹ là người đại diện theo pháp luật của con, trừ khi có người khác làm giám hộ hoặc đại diện theo pháp luật.",,1,CHUONG05,05_73_1
,Cha mẹ không làm người đại diện pháp luật cho con được không?,"Được, trường hợp con có người khác làm giám hộ hoặc có người khác đại diện theo pháp luật.",,1,CHUONG05,05_73_1
,Trường hợp nào cha mẹ cần đại diện pháp luật cho con?,"Con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự, cha mẹ là người đại diện pháp luật",,1,CHUONG05,05_73_1
,Con chưa thành niên có thể đại diện theo pháp luật được không?,"Không, theo luật Hôn nhân và gia đình con chưa thành niên cha mẹ là người đại diện pháp luật.",,1,CHUONG05,05_73_1
17,Cha mẹ có quyền gì đối với việc thực hiện giao dịch để đáp ứng nhu cầu thiết yếu của con?,"Theo Điều 73, cha mẹ có quyền tự mình thực hiện giao dịch để đáp ứng nhu cầu thiết yếu của con.",,1,CHUONG05,05_73_2
,Cha mẹ có thể thực hiện giao dịch cho con không?,"Đối với trường hợp, con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động, không có tài sản để tự nuôi mình, chạ hoặc mẹ có quyền tự mình thực hiện giao dịch nhằm đáp ứng nhu cầu thiết yếu của con",,1,CHUONG05,05_73_2
18,Giao dịch liên quan đến tài sản nào cần có sự thỏa thuận của cha mẹ khi liên quan đến con?,"Theo Điều 73, giao dịch liên quan đến bất động sản, động sản có đăng ký quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh của con cần có sự thỏa thuận của cha mẹ.",,1,CHUONG05,05_73_3
,Các loại tài sản nào của con cần thỏa thuận của cha mẹ? ,"Các tài sản là bất động sản, động sản có đăng ký quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh.",,1,CHUONG05,05_73_3
,"Đối với giao dịch liên quan đến bất động sản, trường hợp nào cần thỏa thuận của cha mẹ?","Đối với giao dịch liên quan đến tài sản là bất động sản, đọng sản có đăng kí quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh của chưa thành niên, con đã thành niên mất năng lực hành vi dân sự thì phải có sự thỏa thuận của cha mẹ.",,1,CHUONG05,05_73_3
,Con có thể giao dịch bất động sản không?,"Đối với giao dịch liên quan đến tài sản là bất động sản, đọng sản có đăng kí quyền sở hữu, quyền sử dụng, tài sản đưa vào kinh doanh của chưa thành niên, con đã thành niên mất năng lực hành vi dân sự thì phải có sự thỏa thuận của cha mẹ.",,1,CHUONG05,05_73_3
19,Ai chịu trách nhiệm liên đới về việc thực hiện giao dịch liên quan đến tài sản của con?,"Theo Điều 73, cha, mẹ chịu trách nhiệm liên đới về việc thực hiện giao dịch liên quan đến tài sản của con theo quy định của Bộ luật dân sự.",,1,CHUONG05,05_73_4
,Cha mẹ phải chịu trách nhiệm gì liên quan đến thực hiện giao dịch liên quan tới tài sản của con?,"Đối với việc thực hiện giao dịch liên quan đến tài sản con, cha mẹ tự mình thực hiện giao dịch nhằm đáp ứng nhu cầu thiết yếu của con, giao dịch liên quan đến bất động sản của con, cha mẹ phải chịu trách nhiệm liên đới về việc thực hiện giao dịch liên quan nếu có.",,1,CHUONG05,05_73_4
20,"Ai phải bồi thường thiệt hại do con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự gây ra?","Theo Điều 74, cha mẹ phải bồi thường thiệt hại do con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự gây ra theo quy định của Bộ luật dân sự.",,1,CHUONG05,05_74
,Cha mẹ có trách nhiệm gì với thiệt hại do con gây ra?,"Đối với con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự gây ra theo quy định của Bộ luật dân sự cha mẹ phải bồi thường thiệt hại.",,1,CHUONG05,05_74
,Ai có trách nhiệm bồi thường thiệt hại do trẻ chưa thành niên?,Cha mẹ có trách nhiệm bồi thường thiệt hại do con chưa thành niên gây ra,,1,CHUONG05,05_74
21,Con có quyền gì đối với tài sản riêng?,"Theo Điều 75, con có quyền có tài sản riêng, bao gồm tài sản thừa kế, tặng cho, thu nhập từ lao động, hoa lợi, lợi tức phát sinh từ tài sản riêng và thu nhập hợp pháp khác. Con từ 15 tuổi trở lên sống chung với cha mẹ có nghĩa vụ đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình nếu có thu nhập. Con đã thành niên có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình theo quy định tại Điều 70.",,1,CHUONG05,05_75
,Con có quyền có tài sản riêng không?,"Có, con có quyền có tài sản riêng.",,1,CHUONG05,05_75_1
,Các loại tài sản riêng của con là gì?,"Tài sản riêng của con bao gồm tài sản được thừa kế riêng, được tặng cho riêng, thu nhập do lao động của con, hoa lợi, lợi tức phát sinh từ tài sản riêng của con và thu nhập hợp pháp khác. Tài sản được hình thành từ tài sản riêng của con cũng là tài sản riêng của con",,1,CHUONG05,05_75_1
,Tài sản riêng của con gồm loại nào?,"Tài sản riêng của con bao gồm tài sản được thừa kế riêng, được tặng cho riêng, thu nhập do lao động của con, hoa lợi, lợi tức phát sinh từ tài sản riêng của con và thu nhập hợp pháp khác. Tài sản được hình thành từ tài sản riêng của con cũng là tài sản riêng của con",,1,CHUONG05,05_75_1
,Khi sống chung với cha mẹ con có nghĩa vụ gì?,"Khi sống chung với cha mẹ, con từ đủ 15 tuổi trở lên có nghĩa vụ chăm lo đời sống chung của gia đình; nếu có thu nhập đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình",,1,CHUONG05,05_75_2
,Con bao nhiêu tuổi để chăm lo cho cha mẹ?,Con từ đủ 15 tuổi trở lên sống chung với cha mẹ có nghĩa vụ chăm lo đời sống chung của gia đình; đáp ứng nhu cầu thiết yếu của gia đình nếu có thu nhập,,1,CHUONG05,05_75_2
,Con có phải chăm lo gia đình không?,"Theo quy định, con từ đủ 15 tuổi trở lên sống chung với cha mẹ phải có nghĩa vụ chăm lo đời sống chung của gia đình; đóng góp vào việc đáp ứng nhu cầu thiết yếu của gia đình nếu có thu nhập.",,1,CHUONG05,05_75_2
,Con đã thành niên có nghĩa vụ gì đối với gia đình?,Con đã thành niên có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình,,1,CHUONG05,05_75_3
,Khi đã thành niên con có phải đóng góp cho gia đình không? ,Có con đã thành niên có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình.,,1,CHUONG05,05_75_3
,Khi đã thành niên con có nghĩa vụ gì đối với gia đình?,"Khi đã thành niên, con có nghĩa vụ đóng góp thu nhập vào việc đáp ứng nhu cầu của gia đình",,1,CHUONG05,05_75_3
22,Con từ đủ 15 tuổi trở lên có quyền quản lý tài sản riêng như thế nào?,"Theo Điều 76, con từ đủ 15 tuổi trở lên có thể tự mình quản lý tài sản riêng hoặc nhờ cha mẹ quản lý.",,1,CHUONG05,05_76_1
,Độ tuổi con có thể tự quản lí tài sản riêng?,Con từ đủ 15 tuổi trở lên có thể tự mình quản lý tài riêng.,,1,CHUONG05,05_76_1
,Con có thể tự quản lý tài sản không?,"Có, con đủ 15 tuổi trở lên có thể tự mình quản lý tài sản riêng hoặc nhờ cha mẹ quản lý",,1,CHUONG05,05_76_1
23,"Khi con từ đủ 15 tuổi trở lên, tài sản riêng của con được quản lý như thế nào?","Theo Điều 76, khi con từ đủ 15 tuổi trở lên, tài sản riêng của con do cha mẹ hoặc người khác quản lý có thể được giao lại cho con khi con từ đủ 15 tuổi trở lên hoặc khi con khôi phục năng lực hành vi dân sự đầy đủ, trừ trường hợp cha mẹ và con có thỏa thuận khác.",,1,CHUONG05,05_76_2
,Đối với con mất năng lực hành vi dân sự tài sản của con được giải quyết thế nào?,"Đối với con mất năng lực hành vi dân sự tài sản riêng của con do cha mẹ quản lý. Cha mẹ có thể ủy quyền cho người khác quản lý tài sản riêng của con. Tài sản riêng của con do cha mẹ hoặc người khác quản lý được giao lại cho con khi con khôi phục năng lực dân sự đầy đủ, trừ trường hợp cha mẹ và con có thỏa thuận khác",,1,CHUONG05,05_76_2
,"Trường hợp con bị vấn đề tâm thần, tài sản riêng của con được quản lý như thế nào?","Đối với con mất năng lực hành vi dân sự tài sản riêng của con do cha mẹ quản lý. Cha mẹ có thể ủy quyền cho người khác quản lý tài sản riêng của con. Tài sản riêng của con do cha mẹ hoặc người khác quản lý được giao lại cho con khi con khôi phục năng lực dân sự đầy đủ, trừ trường hợp cha mẹ và con có thỏa thuận khác",,1,CHUONG05,05_76_2
,Cha mẹ không thể quản lý tài sản riêng của con khi con chưa đủ tuổi nên làm gì?,"Trường hợp con chưa đủ tuổi, cha mẹ có thể ủy quyền cho người khác quản lý tài sản riêng của con và giao lại cho khi con đủ 15 tuổi trở lên.",,1,CHUONG05,05_76_2
,Các trường hợp nào cha mẹ được quyền quản lý tài sản riêng của con?,"Tài sản riêng của con dưới 15 tuổi, con mất năng lực hành vi dân sự do cha mẹ quản lý.",,1,CHUONG05,05_76_2
,Tài sản của con khi chưa đủ tuổi để tự mình quản lý phải làm sao?,"Tài sản riêng của con dưới 15 tuổi do cha mẹ quản lý và được giao lại cho con khi đủ 15 tuổi trở lên, trừ trường hợp cha mẹ và con có thỏa thuận khác.",,1,CHUONG05,05_76_2
24,"Khi con được người khác giám hộ, tài sản riêng của con được quản lý như thế nào?","Theo Điều 76, trong trường hợp cha mẹ đang quản lý tài sản riêng của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự mà con được giao cho người khác giám hộ thì tài sản riêng của con được giao lại cho người giám hộ quản lý theo quy định của Bộ luật dân sự.",,1,CHUONG05,05_76_3
,"Con có người giám hộ khác, cha mẹ có thể quản lý tài sản thừa kế theo di chúc cho con không?","Không trường hợp con đang được người khác giám hộ, người để lại tài sản thừa kế theo di chúc cho người con đã chỉ định người khác quản lý tài sản đó.",,1,CHUONG05,05_76_3
,Con có người khác giám hộ tài sản riêng của con cha mẹ quản lý được không?,"Không, cha mẹ không quản lý tài sản riêng của con trong trường hợp con đang được người khác giám hộ theo quy định của Bộ luật dân sự. Người tặng cho tài sản hoặc để lại tài sản thừa kế theo di chúc cho người con đã chỉ định người khác quản lý tài sản đó hoặc trường hợp khác theo quy định của pháp luật",,1,CHUONG05,05_76_3
,"Khi con được giao cho người khác giám hộ, tài sản riêng của con được giải quyết như thế nào?","Trường hợp con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự mà được giao cho người khác giám hộ thì tài sản riêng của con được giao lại cho người giám hộ quản lý.",,1,CHUONG05,05_76_4
,"Khi con được giao cho người khác giám hộ, tài sản riêng của con do cha mẹ quản lý được không?","Trường hợp con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự mà được giao cho người khác giám hộ thì tài sản riêng của con được giao lại cho người giám hộ quản lý.",,1,CHUONG05,05_76_4
,Cha mẹ có quyền quản lý tài sản của con khi con có người khác giám hộ không?,"Không, tài sản riêng của con được giao lại cho người giám hộ quản lý.",,1,CHUONG05,05_76_4
