,question,answer,feedback,reward,category,intent
,Con không thể thỏa thuận được mức cấp dưỡng được hết cho cha mẹ ông bà làm sao?,Nếu một người có nghĩa vụ cấp dưỡng cho nhiều người mà không thỏa thuận được phương thức và mức cấp dưỡng phù hợp với yêu cầu thì yêu cầu Tòa án giải quyết,,1,CHUONG07,07_108
5,"Trong trường hợp nhiều người cùng có nghĩa vụ cấp dưỡng cho một người hoặc cho nhiều người, những người này thỏa thuận về điều gì?","Trong trường hợp nhiều người cùng có nghĩa vụ cấp dưỡng cho một người hoặc cho nhiều người thì những người này thỏa thuận với nhau về phương thức và mức đóng góp phù hợp với thu nhập, khả năng thực tế của mỗi người và nhu cầu thiết yếu của người được cấp dưỡng; nếu không thỏa thuận được thì yêu cầu Tòa án giải quyết.",,1,CHUONG07,07_109
,Gia đình có nhiều con thì cấp dưỡng cho cha mẹ như thế nào?,"Trường hợp nhiều người có nghĩa vụ cấp dưỡng cho một người hoặc nhiều người thì những người này thỏa thuận với nhau về phương thức và mức đóng góp phù hợp với thu nhập, khả năng thực tế của mỗi người và nhu cầu thiết yếu của người được cấp dưỡng.",,1,CHUONG07,07_109
,Các con trong gia đình không thống nhất được việc cấp dưỡng cho cha mẹ giải quyết như thế nào?,Trường hợp nhiều người có nghĩa vụ cấp dưỡng cho một người hoặc nhiều người mà không thỏa thuận được phương thức và mức đóng góp phù hợp với thu nhập khả năng thực tế của mỗi người ,,1,CHUONG07,07_109
6,"Cha, mẹ có nghĩa vụ cấp dưỡng trong trường hợp nào đối với con?","Cha, mẹ có nghĩa vụ cấp dưỡng cho con chưa thành niên, con đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình trong trường hợp không sống chung với con hoặc sống chung với con nhưng vi phạm nghĩa vụ nuôi dưỡng con.",,1,CHUONG07,07_110
,Con đã thành niên vẫn được hưởng chu cấp từ cha mẹ không?,Tùy trường hợp nếu trong trường hợp con đã thành niên không có khả năng lao động và không có tài sản để tự nuôi minh thì cha mẹ có nghĩa vụ cấp dưỡng cho con.,,1,CHUONG07,07_110
,Cha mẹ có phải chu cấp cho con không?,"Trong trường hợp con chưa thành niên, con đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình, không sống chung với con hoặc sống chung với con nhưng vi phạm nghĩa vụ nuôi dưỡng con. Cha mẹ phải thực hiện nghĩa vụ cấp dưỡng cho con",,1,CHUONG07,07_110
,Con chưa đủ tuổi thì có được cha mẹ chu cấp không?,"Có, với con chưa thành niên cha mẹ có nghĩa vụ cấp dưỡng cho con",,1,CHUONG07,07_110
7,"Con đã thành niên không sống chung với cha, mẹ có nghĩa vụ gì đối với cha, mẹ?","Con đã thành niên không sống chung với cha, mẹ có nghĩa vụ cấp dưỡng cho cha, mẹ trong trường hợp cha, mẹ không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG07,07_111
,Con đi làm ở nước ngoài có phải thực hiện việc chu cấp cho cha mẹ không?,"Con đã thành niên không sống chung với cha, mẹ có nghĩa vụ cấp dưỡng cho cha, mẹ trong trường hợp cha, mẹ không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG07,07_111
8,"Trong trường hợp không còn cha mẹ hoặc cha mẹ không có khả năng lao động và không có tài sản để cấp dưỡng cho con, anh, chị đã thành niên không sống chung với em có nghĩa vụ gì đối với em?","Trong trường hợp không còn cha mẹ hoặc cha mẹ không có khả năng lao động và không có tài sản để cấp dưỡng cho con, anh, chị đã thành niên không sống chung với em có nghĩa vụ cấp dưỡng cho em chưa thành niên không có tài sản để tự nuôi mình hoặc em đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình; em đã thành niên không sống chung với anh, chị có nghĩa vụ cấp dưỡng cho anh, chị không có khả năng lao động và không có tài sản để tự nuôi mình.",,1,CHUONG07,07_112
,Em trong gia đình có phải chu cấp cho anh chị không?,"Có trong trường hợp anh chị không có khả năng lao động và không có tài sản tự nuôi mình, em đã thành niên không sống chung với anh chị có nghĩa vụ cấp dưỡng cho anh chị.",,1,CHUONG07,07_112
,"Trường hợp cha mẹ mất, ai phải thực hiện cấp dưỡng cho con chưa thành niên.","Trong trường hợp không còn cha mẹ hoặc cha mẹ không có khả năng lao động và không có tài sản để cấp dưỡng cho con, anh, chị đã thành niên không sống chung với em có nghĩa vụ cấp dưỡng cho em chưa thành niên không có tài sản để tự nuôi mình",,1,CHUONG07,07_112
,Anh chị trong gia đình có phải chu cấp cho em khi chưa đến tuổi lao động không?,"Trong trường hợp không còn cha mẹ hoặc cha mẹ không có khả năng lao động và không có tài sản để cấp dưỡng cho con, anh, chị đã thành niên không sống chung với em có nghĩa vụ cấp dưỡng cho em chưa thành niên không có tài sản để tự nuôi mình",,1,CHUONG07,07_112
9,Ai có nghĩa vụ cấp dưỡng cho cháu theo Điều 113 khi cháu chưa thành niên hoặc đã thành niên nhưng không có khả năng lao động và không có tài sản?,"Ông bà nội, ông bà ngoại có nghĩa vụ cấp dưỡng cho cháu theo Điều 113, Luật Hôn nhân và Gia đình.",,1,CHUONG07,_07_113_1
,Ông bà có chu cấp con cháu không?,"Ông bà nội, ông bà ngoại có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc thành niên không có khả năng lao động, không có tài sản để tự nuôi mình và không có người cấp dưỡng",,1,CHUONG07,_07_113_1
,Trường hợp nào ông bà nội cấp dưỡng cho cháu?,"Trong trường hợp, ông bà nội không sống chung với cháu, cháu chưa thành nine6 hoặc đã thành niên không có khả năng lao động, không có tài sản để tự nuôi mình và không có người cấp dưỡng",,1,CHUONG07,_07_113_1
10,"Trong trường hợp nào ông bà nội, ông bà ngoại phải cấp dưỡng cho cháu đã thành niên không sống chung với họ?","Ông bà nội, ông bà ngoại phải cấp dưỡng cho cháu đã thành niên khi cháu không sống chung và chúng không có khả năng lao động, không có tài sản để tự nuôi mình, và không có người khác cấp dưỡng theo quy định.",,1,CHUONG07,07_113_1
,Cháu có phải cấp dưỡng cho ông bà nội không?,"Có , cháu đã thành niên không sống chung với ông bà nội, ông bà ngoại có nghĩa vụ cấp dưỡng khi ông bà không có khả năng lao động, không có tài sản tự nuôi mình và không có người khác cấp dưỡng",,1,CHUONG07,07_113_2
,Khi đi làm cháu có phải cấp dưỡng cho ông bà nội không?,"Có , cháu đã thành niên không sống chung với ông bà nội, ông bà ngoại có nghĩa vụ cấp dưỡng khi ông bà không có khả năng lao động, không có tài sản tự nuôi mình và không có người khác cấp dưỡng",,1,CHUONG07,07_113_2
11,Ai có nghĩa vụ cấp dưỡng cho cháu ruột theo Điều 114 khi cháu chưa thành niên hoặc đã thành niên nhưng không có khả năng lao động và không có tài sản?,"Cô, dì, chú, cậu, bác ruột có nghĩa vụ cấp dưỡng cho cháu ruột theo Điều 114, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_114_1
,Khi ba mẹ mất con chưa có khả năng lao động thì họ hàng có phải nuôi dưỡng giúp đỡ không?,"Theo quy định về nghĩa vụ cấp dưỡng, cô dì chú, cậu, bác ruột không sống chung với cháu ruột có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người khác cấp dưỡng",,1,CHUONG07,07_114_1
,Cháu ruột có được họ hàng chu cấp hay không?,"Theo quy định về nghĩa vụ cấp dưỡng, cô dì chú, cậu, bác ruột không sống chung với cháu ruột có nghĩa vụ cấp dưỡng cho cháu trong trường hợp cháu chưa thành niên hoặc đã thành niên không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người khác cấp dưỡng",,1,CHUONG07,07_114_1
12,"Trong trường hợp nào cháu ruột phải cấp dưỡng cho cô, dì, chú, cậu, bác ruột khi cháu đã thành niên và không sống chung với họ?","Cháu ruột phải cấp dưỡng cho cô, dì, chú, cậu, bác ruột khi họ không sống chung, và họ không có khả năng lao động, không có tài sản để tự nuôi mình, và không có người khác cấp dưỡng theo quy định tại Điều 114, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_114_2
,Cháu có phải cấp dưỡng cho họ hàng không?,"Có , cháu đã thành niên không sống chung với cô dì chú bác ruột có nghĩa vụ cấp dưỡng khi người cần cấp dưỡng không có khả năng lao động, không có tài sản tự nuôi mình và không có người khác cấp dưỡng.",,1,CHUONG07,07_114_2
,Khi đi làm cháu có phải cấp dưỡng cho cô ruột không?,"Có , cháu đã thành niên không sống chung với cô dì chú bác ruột có nghĩa vụ cấp dưỡng khi người cần cấp dưỡng không có khả năng lao động, không có tài sản tự nuôi mình và không có người khác cấp dưỡng.",,1,CHUONG07,07_114_2
13,"Khi ly hôn, khi nào bên khó khăn, túng thiếu có quyền yêu cầu cấp dưỡng?","Bên khó khăn, túng thiếu có quyền yêu cầu cấp dưỡng khi ly hôn, theo Điều 115, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_115
,Vợ chồng sau khi ly hôn có phải chu cấp cho nhau không?,"Khi ly hôn nếu bên khó khăn, túng thiếu có yêu cầu cấp dưỡng mà có lý do chính đáng thì bên kia có nghĩa vụ cấp dưỡng theo khả năng của mình",,1,CHUONG07,07_115
,"Sau khi ly hôn, chồng gặp khó khăn có thể chu cấp cho chồng không?",Có nếu bên khó khăn có yêu cầu cấp dưỡng và lý do chính đáng thì vợ có thể cấp dưỡng theo khả năng của mình,,1,CHUONG07,07_115
14,Ai có nghĩa vụ cấp dưỡng khi ly hôn nếu bên kia có yêu cầu có lý do chính đáng?,"Bên kia có nghĩa vụ cấp dưỡng khi ly hôn nếu bên khó khăn, túng thiếu có yêu cầu cấp dưỡng với lý do chính đáng, theo Điều 115, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_115
15,Làm thế nào mức cấp dưỡng được xác định?,"Mức cấp dưỡng được xác định thông qua thỏa thuận giữa người có nghĩa vụ cấp dưỡng và người được cấp dưỡng, hoặc người giám hộ của người đó, căn cứ vào thu nhập, khả năng thực tế và nhu cầu thiết yếu của người được cấp dưỡng. Nếu không thỏa thuận được, Tòa án sẽ giải quyết.",,1,CHUONG07,07_116_1
,Xác định mức cấp dưỡng thế nào?,"Mức cấp dưỡng được xác định theo thu nhập, khả năng thực tế của người có nghĩa vụ cấp dưỡng và nhu cấp thiết yếu của người được cấp dưỡng.",,1,CHUONG07,07_116_1
,Khi không thỏa thuận được mức cấp dưỡng có thể yêu cầu cơ quan chức năng giải quyết không?,Khi không thỏa thuận được thì có thể yêu cầu Tòa án giải quyết về mức cấp dưỡng,,1,CHUONG07,07_116_1
16,"Khi có lý do chính đáng, mức cấp dưỡng có thể thay đổi như thế nào?","Mức cấp dưỡng có thể thay đổi do thỏa thuận giữa các bên. Trong trường hợp không thỏa thuận được, yêu cầu Tòa án giải quyết theo Điều 116, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_116_2
,Có thể thay đổi mức cấp dưỡng không?,Có mức cấp dưỡng có thể thay đổi nếu có lý do chính đáng và do các bên thỏa thuận.,,1,CHUONG07,07_116_2
,Không thỏa thuận được mức cấp dưỡng khi quyết định thay đổi?,Nếu không thỏa thuận được việc thay đổi mức cấp dưỡng thì yêu cầu Tòa án giải quyết,,1,CHUONG07,07_116_2
17,Có những phương thức cấp dưỡng nào được quy định theo Điều 117?,"Việc cấp dưỡng có thể được thực hiện định kỳ hàng tháng, hàng quý, nửa năm, hàng năm hoặc một lần, theo Điều 117, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_117
,Bao lâu mới chu cấp một lần?,"Việc cấp dưỡng có thể được thực hiện định kỳ hàng tháng, hàng quý, nửa năm, hàng năm hoặc một lần.",,1,CHUONG07,07_117
,Con không thể thực hiện cấp dưỡng do không đủ kinh tế có sao không?,Có thể tạm ngừng cấp dưỡng trong trường hợp người thực hiện nghĩa vụ cấp dưỡng gặp khó khăn kinh tế không có khả năng thực hiện cấp dưỡng.,,1,CHUONG07,07_117
18,Các bên có thể thỏa thuận thay đổi phương thức cấp dưỡng trong trường hợp nào?,"Các bên có thể thỏa thuận thay đổi phương thức cấp dưỡng và tạm ngừng cấp dưỡng trong trường hợp người có nghĩa vụ cấp dưỡng gặp khó khăn về kinh tế mà không có khả năng thực hiện nghĩa vụ cấp dưỡng. Nếu không thỏa thuận được, yêu cầu Tòa án giải quyết theo Điều 117, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_117
19,Khi nào nghĩa vụ cấp dưỡng chấm dứt theo Điều 118?,Nghĩa vụ cấp dưỡng chấm dứt trong các trường hợp: 1. Người được cấp dưỡng đã thành niên và có khả năng lao động hoặc có tài sản để tự nuôi mình; 2. Người được cấp dưỡng được nhận làm con nuôi; 3. Người cấp dưỡng đã trực tiếp nuôi dưỡng người được cấp dưỡng; 4. Người cấp dưỡng hoặc người được cấp dưỡng chết; 5. Bên được cấp dưỡng sau khi ly hôn đã kết hôn; 6. Trường hợp khác theo quy định của luật.,,1,CHUONG07,07_118
,Trường hợp cháu mất cha mẹ và được người khác nhận nuôi họ hàng có cần thực hiện cấp dưỡng tiếp không?,Trường hợp người cấp dưỡng được nhận làm con nuôi có thể chấm dứt nghĩa vụ cấp dưỡng,,1,CHUONG07,07_118
,Vợ cũ kết hôn thì chồng cũ có tiếp tục thực hiện chu cấp không?,"Không, trường hợp người cấp dưỡng sau khi ly hôn đã kết hôn thì có thể chấm dứt nghĩa vụ cấp dưỡng",,1,CHUONG07,07_118
,Khi ông bà mất con cháu có phải thực hiện chu cấp tiếp không?,"Không, trường hợp người cấp dưỡng đã mất thì có thể chấm dứt nghĩa vụ cấp dưỡng",,1,CHUONG07,07_118
20,Ai có quyền yêu cầu thực hiện nghĩa vụ cấp dưỡng theo Điều 119?,"1. Người được cấp dưỡng, cha, mẹ hoặc người giám hộ của người đó, theo quy định của pháp luật về tố tụng dân sự, có quyền yêu cầu Tòa án buộc người không tự nguyện thực hiện nghĩa vụ cấp dưỡng. 2. Cá nhân, cơ quan, tổ chức như người thân thích, cơ quan quản lý gia đình, cơ quan quản lý trẻ em, Hội liên hiệp phụ nữ, theo quy định của pháp luật về tố tụng dân sự, có quyền yêu cầu Tòa án buộc người không tự nguyện thực hiện nghĩa vụ cấp dưỡng. 3. Cá nhân, cơ quan, tổ chức khác khi phát hiện hành vi trốn tránh thực hiện nghĩa vụ cấp dưỡng có quyền đề nghị cơ quan, tổ chức quy định tại các điểm b, c và d khoản 2 Điều này yêu cầu Tòa án buộc người không tự nguyện thực hiện nghĩa vụ cấp dưỡng.",,1,CHUONG07,07_119
,Tôi có thể yêu cầu con cháu thực hiện việc chu cấp ở cơ quan nào?,Nếu người có nghĩa vụ cấp dưỡng không tự nguyện thực hiện có thể yêu cầu Tòa án buộc người đó phải thực hiện,,1,CHUONG07,07_119
,Phát hiện con trốn thực hiện nghĩa vụ cấp dưỡng phải báo cáo lên đâu?,"Khi phát hiện hành vi trốn tránh thực hiện nghĩa vụ cấp dưỡng có quyền đề nghị cơ quan quản lý nhà nước về trẻ em,cơ quan quản lý nhà nước về gia đình, hội liên hiệp phụ nữ để giúp đỡ.",,1,CHUONG07,07_119
21,"Theo Điều 120, ai được khuyến khích trợ giúp bằng tiền hoặc tài sản khác?","Nhà nước và xã hội khuyến khích tổ chức, cá nhân trợ giúp bằng tiền hoặc tài sản khác cho gia đình, cá nhân có hoàn cảnh đặc biệt khó khăn, túng thiếu, theo Điều 120, Luật Hôn nhân và Gia đình.",,1,CHUONG07,07_120
